person_id,popularity,followers,name
6sq1yF0OZEWA4xoXVKW1L9,74.0,7224564.0,Alejandro Fernández
0p4nmQO2msCgU4IF37Wi3j,74.0,10356787.0,Avril Lavigne
0BHm7qbh3ENxvXzkQAG7MP,74.0,2357089.0,Mari Fernandez
4lxfqrEsLX6N1N4OCSkILp,74.0,5432306.0,Phil Collins
3GBPw9NK25X1Wt2OUvOwY3,74.0,3698505.0,Jack Johnson
59wfkuBoNyhDMQGCljbUbA,74.0,1573494.0,Diddy
3hYtANQYrE6pd2PbtEyTIy,74.0,5059144.0,Los Tigres Del Norte
3nlpTZci9O5W8RsNoNH559,74.0,4499803.0,Juan Luis Guerra 4.40
2MRBDr0crHWE5JwPceFncq,74.0,8218146.0,Juan Gabriel
5gZhfbckaWo89OzDSk3gdT,73.0,150306.0,Jaani
1cYhx7ZOhYoVmnDPb9KMwo,73.0,3753995.0,Mc Davi
6zLBxLdl60ekBLpawtT63I,73.0,974011.0,Cody Johnson
0ZED1XzwlLHW4ZaG4lOT6m,73.0,5085203.0,Julia Michaels
3Z02hBLubJxuFJfhacLSDc,73.0,3310849.0,Bryan Adams
3tJnB0s6c3oXPq1SCCavnd,73.0,6714019.0,Marco Antonio Solís
4NJhFmfw43RLBLjQvxDuRS,73.0,5208919.0,Wolfgang Amadeus Mozart
3rfM2cGqF6DB0kUyytMkXx,73.0,4092686.0,Orochi
6TPJK8tv3AKKSsw0lENTQk,73.0,33162.0,Nagalli
4myTppRgh0rojLxx8RycOp,73.0,20543.0,Ryan Lewis
3koiLjNrgRTNbOwViDipeA,73.0,5167904.0,Marvin Gaye
1SXhEXzOTF7YeuQX59m7pT,73.0,2004681.0,NATTAN
4NHQUGzhtTLFvgF5SZesLK,73.0,3511875.0,Tove Lo
1ThoqLcyIYvZn7iWbj8fsj,72.0,1578138.0,Bill Withers
4NUePmzDvCYqilXBFa91Hg,72.0,4186888.0,Dilsinho
3hv9jJF3adDNsBSIQDqcjp,72.0,1042150.0,Mark Ronson
5ZfBThYiIIhL7jHMG8gDB2,72.0,5418938.0,Ferrugem
4LAFtDzlQM89xov636hMVv,72.0,59323.0,Dallass
5wEgjH2s4SAiffRmzkBqHB,72.0,7566.0,Wall Hein
085pc2PYOi8bGKj0PNjekA,72.0,4115719.0,will.i.am
0JjPiLQNgAFaEkwoy56B1C,72.0,3577153.0,L7NNON
7y97mc3bZRFXzT2szRM4L4,72.0,3153547.0,Frédéric Chopin
39yVoqm6sYFvvqF1RciUVf,72.0,4391544.0,Carlos Rivera
19ra5tSw0tWufvUp8GotLo,72.0,4470651.0,George Michael
4yiQZ8tQPux8cPriYMWUFP,72.0,6266161.0,Gwen Stefani
52XgeWw24o4klNdfwvB0Vx,71.0,12204.0,Kunaal Vermaa
7sfl4Xt5KmfyDs2T3SVSMK,71.0,1466324.0,Lil Jon
2Mu5NfyYm8n5iTomuKAEHl,71.0,2612911.0,Ms. Lauryn Hill
5KNNVgR6LBIABRIomyCwKJ,71.0,1432006.0,Dermot Kennedy
4aXXDj9aZnlshx7mzj3W1N,71.0,586951.0,Lin-Manuel Miranda
23ot0eI6ByBW6LrlBfr2bm,71.0,15331.0,Pedro Lotto
5YwzDz4RJfTiMHS4tdR5Lf,71.0,2659090.0,Xamã
44NX2ffIYHr6D4n7RaZF7A,71.0,2989893.0,Van Morrison
4phGZZrJZRo4ElhRtViYdl,71.0,7242251.0,Jason Mraz
2eEmsgWmUFMbtU7agJpnjY,70.0,1383180.0,Miranda!
48HORs6F9P7IgdyKrk4MZC,70.0,4558773.0,Tarcísio do Acordeon
18dspUI6gqabm5XCC2RcUD,70.0,51789.0,SOG
7aBzpmFXB4WWpPl2F7RjBe,70.0,306655.0,Wyclef Jean
1vppDmG3i5sXf3DJzrK4T1,70.0,3595765.0,Thiaguinho
4bYPcJP5jwMhSivRcqie2n,70.0,1002426.0,Adam Levine
2y8Jo9CKhJvtfeKOsYzRdT,70.0,4394845.0,Rod Stewart
3yDIp0kaq9EFKe07X1X2rz,70.0,114454.0,Nile Rodgers
28ie4NNTa2VW2QV4Zray8M,70.0,4936305.0,Mc Poze do Rodo
6ZLTlhejhndI4Rh53vYhrY,70.0,5040828.0,Ozzy Osbourne
4sbXXFzEWJY2zsZjelerjX,70.0,5470497.0,Dadju
6roFdX1y5BYSbp60OTJWMd,70.0,4456870.0,Tim McGraw
3dRfiJ2650SZu6GbydcHNb,70.0,1290512.0,John Williams
32vWCbZh0xZ4o9gkz4PsEU,70.0,2257667.0,Dolly Parton
7H55rcKCfwqkyDFH9wpKM6,70.0,3704875.0,Christina Perri
3MrDVzg7ZXaYMyQmbDInr7,70.0,1473792.0,WIU
51XrH5fQP2oIQynuKxSWcW,70.0,81210.0,Sky Rompiendo
1QOmebWGB6FdFtW7Bo3F0W,70.0,3928306.0,Gustavo Cerati
4STHEaNw4mPZ2tzheohgXB,69.0,4545111.0,Paul McCartney
5j4HeCoUlzhfWtjAfM1acR,69.0,3120614.0,Stromae
5MspMQqdVbdwP6ax3GXqum,69.0,1432983.0,Annie Lennox
40LHVA5BTQp9RxHOQ9JPYj,69.0,2544868.0,Lauren Daigle
5CiGnKThu5ctn9pBxv7DGa,69.0,1073435.0,benny blanco
0Ty63ceoRnnJKVEYP0VQpk,69.0,3098997.0,Sting
3gMaNLQm7D9MornNILzdSl,69.0,3270815.0,Lionel Richie
5a2EaR3hamoenG9rDuVn8j,69.0,7048963.0,Prince
7jdFEYD2LTYjfwxOdlVjmc,69.0,1643585.0,KALEO
74ASZWbe4lXaubB36ztrGX,69.0,6267421.0,Bob Dylan
6gEzJZrbm0F4ihvE9iXR9z,69.0,2307932.0,Péricles
63XBtGSEZINSyXylZxEUbv,69.0,811032.0,Victoria Monét
776Uo845nYHJpNaStv1Ds4,69.0,6394440.0,Jimi Hendrix
7oPgCQqMMXEXrNau5vxYZP,69.0,1545315.0,Tracy Chapman
2UZMlIwnkgAEDBsw1Rejkn,68.0,2352847.0,Tom Petty
72OaDtakiy6yFqkt4TsiFt,68.0,3131894.0,Cher
4xnihxcoXWK3UqryOSnbw5,68.0,1367628.0,Sasha Alex Sloan
4etuCZVdP8yiNPn4xf0ie5,68.0,2750889.0,Julio Iglesias
7zxFc10N9BP2lg73b8cwZ0,68.0,15695.0,Salve Malak
24eDfi2MSYo3A87hCcgpIL,68.0,243459.0,Ludwig Göransson
4x1nvY2FN8jxqAFA0DA02H,68.0,5670476.0,John Lennon
5gznATMVO85ZcLTkE9ULU7,68.0,3038890.0,Lenny Kravitz
1bdnGJxkbIIys5Jhk1T74v,68.0,333013.0,Brandon Lake
6y7frW1RUq3XBBXbYowVpk,68.0,235155.0,Chandler Moore
4xd7mLI7urqrxELaXhAvzw,68.0,662229.0,Shekhar Ravjiani
7lzordPuZEXxwt9aoVZYmG,68.0,1782466.0,Billy Idol
59FrDXDVJz0EKqYg39dnT2,68.0,3072006.0,Jão
2KsP6tYLJlTBvSUxnwlVWa,68.0,1368450.0,Mike Posner
4ClsVDy2g7RKSSlvq8cF6d,68.0,2054934.0,León Larregui
5r2baeTwcCJnuIsDIlxUJo,68.0,24435.0,Rashmi Virag
3HVdAiMNjYrQIKlOGxoGh5,67.0,2693997.0,Rob Zombie
3MKCzCnpzw3TjUYs2v7vDA,67.0,1213833.0,Pyotr Ilyich Tchaikovsky
7hLjkyL9Pz9xtQNahzJZki,67.0,1468542.0,Belo
4NEYQeEYBUjfaXgDQGvFvu,67.0,5068875.0,Franco De Vita
1aSxMhuvixZ8h9dK9jIDwL,67.0,1755930.0,Kate Bush
5nki7yRhxgM509M5ADlN1p,67.0,1010213.0,Oliver Heldens
0iOVhN3tnSvgDbcg25JoJb,67.0,1547165.0,Etta James
2cWZOOzeOm4WmBJRnD5R7I,67.0,2524932.0,Normani
4Y0VwRwAOyJutxoVpPX4td,67.0,417639.0,Derek
7gcCQIlkkfbul5Mt0jBQkg,67.0,30222.0,Dave Stewart
7fAKtXSdNInWAIf0jVUz65,67.0,5254954.0,Roberto Carlos
4exLIFE8sISLr28sqG1qNX,67.0,433225.0,Travis Barker
0nFdWpwl7h6fp3ADRyG14L,67.0,279191.0,Marina Sena
3pO5VjZ4wOHCMBXOvbMISG,67.0,648123.0,Antônio Carlos Jobim
6iAY2AyUZLSX3PWLIAfFZY,67.0,4468267.0,Fernandinho
64DvMieEUCdrYKmEIhDt8G,67.0,1770361.0,Arjan Dhillon
2auikkNYqigWStoHWK1Grq,66.0,45435.0,John Martin
2CvCyf1gEVhI0mX6aFXmVI,66.0,2193953.0,Paul Simon
6ogn9necmbUdCppmNnGOdi,66.0,2636754.0,Alanis Morissette
4ovtyvs7j1jSmwhkBGHqSr,66.0,1705840.0,Olamide
5wTAi7QkpP6kp8a54lmTOq,66.0,916007.0,Johannes Brahms
7mEIug7XUlQHikrFxjTWes,66.0,2552049.0,Neil Diamond
4d3yvTptO48nOYTPBcPFZC,66.0,1295858.0,Eve
6Rx1JKzBrSzoKQtmbVmBnM,66.0,665136.0,Hayley Williams
6hnWRPzGGKiapVX1UCdEAC,66.0,1540255.0,Sam Cooke
