followers,genres,popularity,country,iso_code,person_id,name,person_kind
25658350.0,"['hip-hop', 'rap']",87.0,United States,USA,2YZyLoL8N0Wb9xBt1NhZWg,Kendrick Lamar,Performers
12940970.0,"['reggaeton', 'trap', 'urbano']",87.0,Puerto Rico,PRI,7iK8PXO48WeuP03g8YR51W,Myke Towers,Writers
94182752.0,['pop'],87.0,United States,USA,66CXWjxzNUsdJxJ2JdwvnR,Ariana Grande,Writers
31637231.0,['pop'],86.0,Colombia,COL,0EmeFodog0BfCgMzAIvKQp,Shakira,Writers
29743689.0,"['pop', 'hip-hop', 'rap']",86.0,United States,USA,0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,Writers
5330045.0,"['corrido', 'sierreno']",86.0,Mexico,MEX,0ys2OFYzWYB5hRDLCsBqxt,Fuerza Regida,Performers
23191822.0,"['hip-hop', 'filmi']",86.0,India,IND,4zCH9qm4R2DADamUHMCa6O,Anirudh Ravichander,Writers
21673217.0,"['hip-hop', 'rap']",86.0,United States,USA,6l3HvQ5sa6mXTsMTB19rO5,J. Cole,Producers
8413267.0,"['corrido', 'cultural', 'sierreno']",86.0,Mexico,MEX,66ihevNkSYNzRAl44dx6jJ,Carin Leon,Writers
47602258.0,"['wave', 'pop']",86.0,United Kingdom,GBR,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,Performers
26333898.0,"['big room', 'pop', 'edm']",86.0,France,FRA,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,Writers
31052684.0,['rap'],86.0,United States,USA,4MCBfE4596Uoi2O4DtmEMz,Juice WRLD,Performers
9075525.0,"['corrido', 'cultural', 'sierreno']",86.0,Mexico,MEX,0elWFr7TW8piilVRYJUe4P,Natanael Cano,Writers
21986140.0,"['rock', 'wave', 'indie']",86.0,United Kingdom,GBR,7Ln80lUS6He07XvHI8qqHH,Arctic Monkeys,Performers
31637231.0,['pop'],86.0,Colombia,COL,0EmeFodog0BfCgMzAIvKQp,Shakira,Producers
8413267.0,"['corrido', 'cultural', 'sierreno']",86.0,Mexico,MEX,66ihevNkSYNzRAl44dx6jJ,Carin Leon,Performers
22235859.0,"['filmi', 'instrumental', 'bollywood']",86.0,India,IND,1wRPtKGflJrBx9BmLsSwlU,Pritam,Writers
15620446.0,"['hip-hop', 'trap', 'rap']",86.0,United States,USA,5f7VJjfbwm532GiveGC0ZK,Lil Baby,Performers
9075525.0,"['corrido', 'cultural', 'sierreno']",86.0,Mexico,MEX,0elWFr7TW8piilVRYJUe4P,Natanael Cano,Performers
23191822.0,"['hip-hop', 'filmi']",86.0,India,IND,4zCH9qm4R2DADamUHMCa6O,Anirudh Ravichander,Performers
32992508.0,"['reggaeton', 'trap', 'urbano']",86.0,Puerto Rico,PRI,2R21vXR83lH98kGeO99Y66,Anuel AA,Performers
47602258.0,"['wave', 'pop']",86.0,United Kingdom,GBR,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,Writers
12940680.0,"['hip-hop', 'pop', 'trap', 'urbano']",86.0,Argentina,ARG,716NhGYqD1jl2wI1Qkgq36,Bizarrap,Performers
3002321.0,"['trap', 'urbano']",86.0,Puerto Rico,PRI,0Q8NcsJwoCbZOHHW63su5S,Mora,Producers
2114747.0,['cultural'],86.0,Mexico,MEX,6XkjpgcEsYab502Vr1bBeW,Grupo Frontera,Performers
26333898.0,"['big room', 'pop', 'edm']",86.0,France,FRA,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,Performers
41826994.0,['pop'],86.0,United Kingdom,GBR,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,Performers
22235859.0,"['filmi', 'instrumental', 'bollywood']",86.0,India,IND,1wRPtKGflJrBx9BmLsSwlU,Pritam,Performers
50634908.0,"['rock', 'pop']",86.0,United States,USA,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,Performers
70303563.0,"['k-pop', 'pop']",86.0,South Korea,KOR,3Nrfpe0tUJi4K4DXYWgMUX,BTS,Performers
29743689.0,"['pop', 'hip-hop', 'rap']",86.0,United States,USA,0hCNtLu0JehylgoiP8L4Gh,Nicki Minaj,Performers
3002321.0,"['trap', 'urbano']",86.0,Puerto Rico,PRI,0Q8NcsJwoCbZOHHW63su5S,Mora,Performers
31637231.0,['pop'],86.0,Colombia,COL,0EmeFodog0BfCgMzAIvKQp,Shakira,Performers
41826994.0,['pop'],86.0,United Kingdom,GBR,6M2wZ9GZgrQXHCFfjv46we,Dua Lipa,Writers
21673217.0,"['hip-hop', 'rap']",86.0,United States,USA,6l3HvQ5sa6mXTsMTB19rO5,J. Cole,Performers
26333898.0,"['big room', 'pop', 'edm']",86.0,France,FRA,1Cs0zKBU1kc0i8ypK3B9ai,David Guetta,Producers
37744000.0,"['pop', 'reggaeton', 'trap', 'urbano']",85.0,Puerto Rico,PRI,1i8SpTcr7yvPOmcqrbnVXY,Ozuna,Writers
16045306.0,"['hip-hop', 'rap']",85.0,United States,USA,4O15NlyKLIASxsJ0PrXPfz,Lil Uzi Vert,Performers
34349124.0,"['pop', 'reggaeton', 'trap', 'urbano']",85.0,Colombia,COL,1r4hJ1h58CWwUQe3MxPuau,Maluma,Performers
36054439.0,"['pop', 'r&b']",85.0,United States,USA,6vWDO969PvNqNYHIOW5v0m,Beyoncé,Performers
29821473.0,['pop'],85.0,United Kingdom,GBR,6KImCVD70vtIoJWnq6nGn3,Harry Styles,Writers
20607240.0,"['pop', 'r&b', 'rap']",85.0,United States,USA,7bXgB6jMjp9ATFy66eO08Z,Chris Brown,Writers
14072050.0,"['hip-hop', 'rap', 'pop', 'trap']",85.0,United States,USA,55Aa2cqylxrFIXC767Z865,Lil Wayne,Writers
37744000.0,"['pop', 'reggaeton', 'trap', 'urbano']",85.0,Puerto Rico,PRI,1i8SpTcr7yvPOmcqrbnVXY,Ozuna,Performers
33723509.0,"['hip-hop', 'reggaeton', 'trap', 'urbano']",85.0,Puerto Rico,PRI,4VMYDCV2IEDYJArk749S6m,Daddy Yankee,Performers
36054439.0,"['pop', 'r&b']",85.0,United States,USA,6vWDO969PvNqNYHIOW5v0m,Beyoncé,Writers
3129711.0,"['rap', 'trap', 'urbano']",85.0,Spain,ESP,52iwsT98xCoGgiGntTiR7K,Quevedo,Performers
20607240.0,"['pop', 'r&b', 'rap']",85.0,United States,USA,7bXgB6jMjp9ATFy66eO08Z,Chris Brown,Performers
37703440.0,"['reggaeton', 'trap', 'urbano']",85.0,Colombia,COL,1vyhD5VmyZ7KMfW5gqLgo5,J Balvin,Performers
29821473.0,['pop'],85.0,United Kingdom,GBR,6KImCVD70vtIoJWnq6nGn3,Harry Styles,Performers
33723509.0,"['hip-hop', 'reggaeton', 'trap', 'urbano']",85.0,Puerto Rico,PRI,4VMYDCV2IEDYJArk749S6m,Daddy Yankee,Producers
14072050.0,"['hip-hop', 'rap', 'pop', 'trap']",85.0,United States,USA,55Aa2cqylxrFIXC767Z865,Lil Wayne,Performers
